time,price,quantity
08:30:00.016945,23262.0,1,START_BUY
08:31:00.000001,23223.5,-1,SIGNAL_FLATTEN
08:33:00.000001,23203.25,-1,START_SELL
08:48:00.000001,23190.75,-1,ADD2_SELL
08:58:00.004912,23182.0,-1,ADD3_SELL
09:03:00.000001,23171.25,-1,ADD4_SELL
09:08:00.000001,23160.0,-1,ADD5_SELL
10:01:00.000122,100000.0,5,SIGNAL_FLATTEN
10:03:00.015080,100000.0,1,START_BUY
10:03:00.015080,23550.75,-1,GAIN_FLATTEN
10:06:00.005460,23185.25,-1,START_SELL
10:21:00.025577,100000.0,1,PNL2_FLATTEN
10:36:00.004466,100000.0,1,START_BUY
10:36:00.004466,23558.25,-1,GAIN_FLATTEN
10:37:00.004502,100000.0,1,START_BUY
10:37:00.004502,23557.25,-1,GAIN_FLATTEN
10:38:00.000001,100000.0,1,START_BUY
10:38:00.000001,23551.75,-1,GAIN_FLATTEN
10:39:00.001063,100000.0,1,START_BUY
10:39:00.001063,23553.5,-1,GAIN_FLATTEN
10:40:00.007093,100000.0,1,START_BUY
10:40:00.007093,23555.0,-1,GAIN_FLATTEN
10:41:00.000001,100000.0,1,START_BUY
10:41:00.000001,23557.0,-1,GAIN_FLATTEN
10:42:00.002690,100000.0,1,START_BUY
10:42:00.002690,23554.75,-1,GAIN_FLATTEN
10:43:00.002931,100000.0,1,START_BUY
10:43:00.002931,23556.25,-1,GAIN_FLATTEN
10:44:00.000001,100000.0,1,START_BUY
10:44:00.000001,23557.25,-1,GAIN_FLATTEN
10:45:00.004171,100000.0,1,START_BUY
10:45:00.004171,23560.25,-1,GAIN_FLATTEN
10:46:00.006933,100000.0,1,START_BUY
10:46:00.006933,23557.75,-1,GAIN_FLATTEN
10:47:00.044191,100000.0,1,START_BUY
10:47:00.044191,23552.5,-1,GAIN_FLATTEN
10:48:00.004438,100000.0,1,START_BUY
10:48:00.004438,23559.5,-1,GAIN_FLATTEN
10:49:00.001495,100000.0,1,START_BUY
10:49:00.001495,23562.5,-1,GAIN_FLATTEN
10:50:00.000095,100000.0,1,START_BUY
10:50:00.000095,23563.0,-1,GAIN_FLATTEN
10:51:00.029563,100000.0,1,START_BUY
10:51:00.029563,23563.25,-1,GAIN_FLATTEN
10:52:00.000001,100000.0,1,START_BUY
10:52:00.000001,23567.5,-1,GAIN_FLATTEN
10:53:00.005006,100000.0,1,START_BUY
10:53:00.005006,23575.5,-1,GAIN_FLATTEN
10:54:00.000001,100000.0,1,START_BUY
10:54:00.000001,23577.25,-1,GAIN_FLATTEN
10:55:00.000907,100000.0,1,START_BUY
10:55:00.000907,23611.5,-1,GAIN_FLATTEN
10:56:00.001085,100000.0,1,START_BUY
10:56:00.001085,23614.75,-1,GAIN_FLATTEN
10:57:00.000001,100000.0,1,START_BUY
10:57:00.000001,23630.75,-1,GAIN_FLATTEN
10:58:00.000001,100000.0,1,START_BUY
10:58:00.000001,23613.5,-1,GAIN_FLATTEN
10:59:00.002726,100000.0,1,START_BUY
10:59:00.002726,23608.0,-1,GAIN_FLATTEN
