time,price,quantity
09:52:00.000001,23187.75,1,START_BUY
10:01:00.000001,23204.25,1,START_BUY
10:04:00.000001,23210.0,-1,PROGRAM_FLATTEN
10:18:00.000001,23224.0,1,START_BUY
10:18:00.000001,23223.75,-1,PROGRAM_FLATTEN
11:01:00.000001,23247.25,1,START_BUY
11:04:00.000001,23253.0,-1,PROGRAM_FLATTEN
11:41:00.000001,23251.75,1,START_BUY
11:41:00.000001,23251.5,-1,PROGRAM_FLATTEN
11:43:00.005239,23252.75,1,START_BUY
11:58:00.000001,23255.75,1,ADD2_BUY
11:58:00.000001,23255.5,-2,PROGRAM_FLATTEN
12:00:00.000001,23257.0,1,START_BUY
12:01:00.000001,23255.75,-1,PROGRAM_FLATTEN
12:18:00.000001,23262.25,1,START_BUY
12:25:59.475017,23257.0,-1,PROGRAM_FLATTEN
12:28:00.000001,23249.25,1,START_BUY
12:29:00.000001,23254.5,-1,PROGRAM_FLATTEN
12:33:00.006736,23255.5,1,START_BUY
12:48:00.000001,23263.25,1,ADD2_BUY
12:58:00.000734,23270.5,1,ADD3_BUY
13:03:00.009656,23267.25,1,ADD4_BUY
13:08:00.000001,-100000.0,-4,PNL5_FLATTEN
13:09:00.000001,23256.75,1,START_BUY
13:24:00.013418,-100000.0,-1,PNL2_FLATTEN
14:12:00.000001,23261.25,1,START_BUY
14:14:00.000001,23261.0,-1,PROGRAM_FLATTEN
14:15:00.000001,23258.25,1,START_BUY
14:16:00.000001,23260.0,-1,PROGRAM_FLATTEN
14:17:00.000001,23261.0,1,START_BUY
14:32:00.000001,23271.25,1,ADD2_BUY
14:42:00.000001,23263.75,-2,PNL3_FLATTEN
14:43:00.000001,23260.25,1,START_BUY
14:51:00.002596,23255.5,-1,SIGNAL_FLATTEN
14:55:00.000585,100000.0,1,START_BUY
14:55:00.000585,23610.25,-1,GAIN_FLATTEN
